Document Number,Business Name,Status,Industry Segment
L01000001513,"THE DENTAL COMPANY, L.L.C.",INACT,DENTAL
L14000180462,DENTAL LLC,RPEND/UA,DENTAL
L22000280842,"DENTAL, LLC",INACT,DENTAL
P02000046337,DENTAL CORP.,INACT,DENTAL
L17000048128,DENTAL 1 LLC,Active,DENTAL
P02000015039,DENTAL 101 CORPORATION,NAME HS,DENTAL
L13000075136,"DENTAL 192, LLC",InActive,DENTAL
L19000037793,DENTAL1 LABS LLC,RPEND/UA,DENTAL
P19000014898,DENTAL 305 CORP,INACT,DENTAL
P25000024640,DENTAL 360 INC,Active,DENTAL
L24000081471,DENTAL 360 ADVISORS LLC,Active,DENTAL
L07000113361,DENTAL 3 D LLC,INACT,DENTAL
P15000063250,DENTAL 3D MOBILE SERVICES INC,Active,DENTAL
L10000125454,"DENTAL 4 ALL, LLC",RPEND/UA,DENTAL
L22000077989,"DENTAL4LIFE, PLLC.",Active,DENTAL
P13000066650,DENTAL 5 COPAY INC.,INACT,DENTAL
232877,DENTALAB INC.,INACT,DENTAL
J26818,"DENTAL ABRASIVE SUPPLY, INC.",INACT,DENTAL
L21000396532,"DENTAL ACADEMY, L.L.C.",INACT,DENTAL
L24000052213,"THE DENTAL ACADEMY, L.L.C",INACT/UA,DENTAL
P04000074084,"DENTISTRY, INC.",NAME HS,DENTAL
T08094,DENTISTRY,CROSS RF,DENTAL
L23000160010,"DENTISTRY180, PLLC",Active,DENTAL
P04000071547,DENTISTRY1 PA,Active,DENTAL
L17000135079,"""DENTISTRY4YOU"" AESTHETIC DENTISTRY AND SPECIALTY CENTER, LLC",Active,DENTAL
L21000525559,DENTISTRY AFTER HOURS PLLC,Active,DENTAL
F19000004259,"DENTISTRY.AI, INC.",InActive,DENTAL
P23000014003,DENTISTRY OF APOPKA PA,Active,DENTAL
P01000052547,DENTISTRY ASLEEP P.A.,INACT,DENTAL
L25000193350,"DENTISTRY AT HYDE PARK, PLLC",Active,DENTAL
P06000065264,"DENTISTRY AT LAKE NONA, INC.",Active,DENTAL
P00000098051,"DENTISTRY AT MAINLANDS, INC.",INACT,DENTAL
P17000060964,"DENTISTRY AT SERENITY COVE, INC.",Active,DENTAL
P09000008831,"DENTISTRY AT TAMPA PALMS, P.A.,",INACT,DENTAL
L22000260114,"DENTISTRY AT TOWN PARK, LLC",Active,DENTAL
L19000084345,DENTISTRY BRANDS LLC,Active,DENTAL
P01000089031,"DENTISTRY BY ATTAR, P.A.",INACT,DENTAL
L11000091557,"DENTISTRY BY DESIGN, LLC",Active,DENTAL
P23000063415,"DENTISTRY BY DR. K, INC.",Active,DENTAL
P01000108871,"DENTISTRY BY EDWARD MARTIN, D.D.S., P.A.",INACT,DENTAL
